State,County Name,GROC09,CONVS09,FFR09,PCT_DIABETES_ADULTS09,PCT_OBESE_ADULTS09,MEDHHINC09,LACCESS_POP09,LACCESS_POP09,POPULATOIN 09,POP 09,GROC14,CONVS14,FFR14,PCT_DIABETES_ADULTS14,PCT_OBESE_ADULTS14,MEDHHINC14,PCT_LACCESS_POP14,LACCESS_POP14,POPULATION 14,POP 14
AR,Mississippi,15,26,32,12.9,38.8,32169,13%,6002,46480,"46,480",11,33,32,15.9,39.8,34888,13%,5863,46480,"44,243"
AR,Monroe,7,15,10,13.8,35.5,31744,31%,7149,23068,"23,068",6,15,9,17.8,35.3,35163,25%,5712,23068,"21,902"
AR,Montgomery,33,131,169,13.9,34.1,41556,28%,64260,229363,"229,363",37,141,210,13.5,34.8,42666,29%,66181,229363,"227,193"
AR,Nevada,1,9,3,13.8,35.2,32896,26%,2374,8997,"8,997",1,7,3,13.9,36,35914,29%,2632,8997,"8,689"
AR,Newton,3,1,1,13.4,35.2,30965,35%,2940,8330,"8,330",4,4,1,12.8,34.2,33679,44%,3653,8330,"7,914"
AR,Ouachita,6,12,14,13.8,37.1,35971,28%,7349,26120,"26,120",4,14,16,14.8,34.8,37987,26%,6757,26120,"24,799"
AR,Perry,5,8,2,19.8,40.2,24742,9%,972,10591,"10,591",4,6,1,21.7,43,26218,8%,882,10591,"9,842"
AR,Phillips,9,9,12,15.2,39.3,26933,37%,8042,21757,"21,757",7,11,7,16.7,45.5,28224,50%,10961,21757,"19,938"
AR,Pike,9,17,30,15.3,36.9,32771,11%,3733,32899,"32,899",6,20,33,13.5,38.4,34442,14%,4535,32899,"33,020"
AR,Poinsett,6,15,16,11.7,36.5,32130,11%,2797,24583,"24,583",5,17,17,13.8,38.4,32756,34%,8364,24583,"24,155"
AR,Polk,6,13,12,11.3,37.6,29938,37%,7612,20662,"20,662",4,12,8,13.9,36.7,34723,38%,7940,20662,"20,252"
AR,Pope,7,33,55,9.7,31.9,39040,14%,8744,61754,"61,754",7,33,52,11.2,32.1,41074,14%,8395,61754,"63,094"
AR,Prairie,3,9,5,11.4,31.9,36898,6%,535,8715,"8,715",2,7,1,14.3,36.3,39518,37%,3227,8715,"8,314"
AR,Pulaski,72,188,330,10.5,32.1,44733,31%,116978,382748,"382,748",63,220,344,12,31.7,46473,27%,101839,382748,"392,633"
AR,Randolph,4,17,11,14.5,32.1,32584,5%,1061,22913,"22,913",3,18,9,14.9,30.9,37333,15%,3375,22913,"22,468"
AR,Saline,15,34,47,10.6,31.2,53430,22%,24019,107118,"107,118",12,32,64,11.8,32.5,56926,22%,23913,107118,"115,780"
AR,Scott,2,5,2,10.8,31.7,29633,18%,2004,11233,"11,233",2,4,4,11.4,32.5,36028,17%,1943,11233,"10,659"
AR,Searcy,2,4,4,12.6,30.7,27896,33%,2726,8195,"8,195",3,4,4,13.4,35,30427,34%,2757,8195,"7,908"
AR,Sebastian,19,60,103,10.4,30,38724,14%,17987,125744,"125,744",19,60,96,12.9,36.9,41452,10%,12919,125744,"126,827"
AR,Sevier,4,12,8,12.4,32.2,35279,34%,5789,17058,"17,058",4,14,7,12.2,36.7,41848,23%,4002,17058,"17,377"
AR,Sharp,3,8,10,11.5,28.1,28933,21%,3570,17264,"17,264",3,6,9,15.2,37.3,32095,22%,3878,17264,"16,904"
AR,Stone,2,6,8,11.9,31.6,29182,24%,3035,12394,"12,394",2,5,10,12.7,32.6,32023,25%,3116,12394,"12,445"
AR,Union,10,42,24,11.6,30.8,36934,22%,9035,41639,"41,639",6,35,27,13.5,39.4,42195,26%,10944,41639,"40,158"
AR,Washington,3,10,4,12.9,36.2,37639,10%,1708,17581,"17,581",2,9,3,17.8,40.2,42658,8%,1479,17581,"16,891"
AR,White,15,37,49,10.1,31.2,39974,14%,11024,77076,"77,076",12,40,60,10.1,36.3,42508,12%,9452,77076,"78,532"
AR,Woodruff,2,3,3,12.6,33.9,27003,5%,387,7260,"7,260",2,6,4,14.7,35.8,31013,5%,382,7260,"6,886"
AR,Yell,4,9,10,13.3,35.9,33522,8%,1670,22185,"22,185",2,13,9,12.9,37.1,37415,13%,2856,22185,"21,850"
CA,Alameda,359,300,1072,7.2,20.3,66937,11%,160425,1510271,"1,510,271",377,313,1236,8.5,20,81462,7%,107964,1510271,"1,608,868"
CA,Alpine,0,0,2,9.4,25.4,44241,56%,653,1175,"1,175",0,0,2,10.3,23.4,50882,49%,575,1175,"1,104"
CA,Amador,13,20,17,9.9,24.7,49516,12%,4760,38091,"38,091",12,12,14,10.2,25.5,55879,14%,5338,38091,"36,739"
CA,Butte,51,59,150,8.8,24.8,41168,22%,48749,220000,"220,000",46,70,149,10.2,25.9,45369,21%,46598,220000,"223,974"
CA,Calaveras,10,23,24,8.8,26.1,50745,9%,3907,45578,"45,578",12,21,29,10,23.5,52471,10%,4578,45578,"44,589"
CA,Colusa,11,14,12,7.9,24.5,44981,8%,1771,21419,"21,419",9,14,9,9.6,25.4,51118,8%,1771,21419,"21,256"
CA,Fresno,213,287,563,9,29.4,44869,12%,113632,930450,"930,450",250,291,599,9.4,26.6,46608,9%,85484,930450,"963,151"
CA,Glenn,5,16,15,7.8,27.1,40859,13%,3631,28122,"28,122",9,14,14,8.4,26.7,43584,9%,2538,28122,"27,982"
CA,Humboldt,43,54,85,8.6,26.2,38254,16%,21978,134623,"134,623",45,43,92,8.8,25.5,40739,16%,21099,134623,"134,665"
CA,Imperial,41,60,83,7.2,24.6,39261,16%,28181,174528,"174,528",34,68,101,8.3,26.3,39925,18%,30616,174528,"178,866"
CA,Inyo,4,15,14,8.5,23.4,44507,41%,7629,18546,"18,546",4,15,14,9.4,23.3,51697,41%,7628,18546,"18,410"
CA,Kern,187,249,524,7.7,28.8,45045,15%,128065,839631,"839,631",185,275,550,9.3,30.3,51150,15%,122097,839631,"872,138"
CA,Kings,30,43,78,6.5,27.6,44020,21%,32733,152982,"152,982",31,38,87,7.5,26.4,46440,19%,29477,152982,"149,669"
CA,Lake,24,25,29,9.5,26.8,35914,18%,11383,64665,"64,665",22,33,33,10.1,26.2,37993,19%,12117,64665,"64,099"
CA,Lassen,10,15,12,6.9,26.6,50093,48%,16856,34895,"34,895",7,15,13,7.6,23.9,54670,49%,17122,34895,"31,714"
CA,Madera,36,43,65,8.5,30.2,43596,20%,29906,150865,"150,865",38,49,78,7.9,26.5,46593,21%,31477,150865,"154,071"
CA,Marin,64,45,164,6.4,15.3,82383,16%,41396,252409,"252,409",71,41,185,7.9,18.9,99868,12%,30189,252409,"260,516"
CA,Mariposa,9,11,8,9.2,24.4,42222,17%,3156,18251,"18,251",10,8,8,10.7,24.4,44595,17%,3194,18251,"17,658"
CA,Mendocino,52,41,57,7.4,22.8,40339,18%,15812,87841,"87,841",47,37,52,8.4,22.4,43237,17%,15255,87841,"87,449"
CA,Merced,57,74,125,7.4,31.9,41730,14%,36594,255793,"255,793",64,76,129,9.2,29.5,42879,16%,40077,255793,"265,139"
CA,Modoc,5,4,4,8.7,25,34579,36%,3463,9686,"9,686",5,5,3,10.4,23.2,38402,27%,2571,9686,"9,010"
CA,Mono,6,10,16,7,20.5,52768,48%,6813,14202,"14,202",5,12,17,7.4,22.8,53992,50%,7068,14202,"14,045"
CA,Monterey,107,111,231,7.2,22.4,53735,12%,49442,415057,"415,057",113,110,252,7.6,22.3,60047,12%,51148,415057,"429,902"
CA,Napa,35,39,75,7,22.2,62893,14%,19302,136484,"136,484",42,38,79,8.4,23.7,72683,10%,13840,136484,"141,097"
CA,Nevada,1,9,3,13.8,35.2,32896,26%,2374,8997,"8,997",1,7,3,13.9,36,35914,29%,2632,8997,"8,689"
CA,Orange,527,586,2526,7.2,20.6,70727,7%,220587,3010232,"3,010,232",529,626,2790,8,19.7,78002,7%,195971,3010232,"3,134,438"
CA,Placer,58,99,285,7.5,20.4,68330,15%,53006,348432,"348,432",66,119,311,9,21.7,76203,16%,54219,348432,"370,486"
CA,Plumas,9,11,14,8.9,24.1,41421,8%,1538,20007,"20,007",10,14,10,9.8,23,46813,8%,1622,20007,"18,573"
CA,Riverside,344,407,1296,9.2,27.6,53981,20%,433981,2189641,"2,189,641",367,446,1426,9,26,57895,20%,437849,2189641,"2,322,455"
